zip_code,studio,1BR,2BR,3BR,4BR
33002,1360,1540,1920,2530,2990
33010,1150,1310,1630,2140,2540
33011,1360,1540,1920,2530,2990
33012,1230,1400,1740,2290,2710
33013,1150,1310,1630,2140,2540
33014,1390,1580,1960,2580,3050
33015,1490,1690,2100,2760,3270
33016,1360,1540,1920,2530,2990
33017,1360,1540,1920,2530,2990
33018,1660,1890,2350,3090,3660
33023,1200,1300,1620,2270,2760
33030,1090,1240,1540,2030,2400
33031,1170,1320,1650,2170,2570
33032,1280,1450,1800,2370,2810
33033,1100,1250,1550,2040,2420
33034,1130,1290,1600,2100,2490
33035,1500,1700,2120,2790,3300
33039,1140,1290,1600,2110,2500
33054,1050,1200,1510,2000,2370
33055,1370,1550,1930,2540,3010
33056,1350,1530,1900,2500,2960
33090,1360,1540,1920,2530,2990
33092,1360,1540,1920,2530,2990
33101,1360,1540,1920,2530,2990
33106,1360,1540,1920,2530,2990
33109,2040,2310,2880,3790,4490
33114,1360,1540,1920,2530,2990
33116,1360,1540,1920,2530,2990
33119,1360,1540,1920,2530,2990
33122,2040,2310,2880,3790,4490
33124,1360,1540,1920,2530,2990
33125,1210,1370,1710,2250,2670
33126,1430,1620,2020,2660,3150
33127,1060,1210,1510,2000,2370
33128,1050,1200,1510,2000,2370
33129,2020,2290,2850,3750,4440
33130,1270,1440,1790,2350,2790
33131,2040,2310,2880,3790,4490
33132,2040,2310,2880,3790,4490
33133,1480,1680,2090,2750,3260
33134,1510,1710,2130,2800,3320
33135,1170,1330,1650,2170,2570
33136,1050,1200,1510,2000,2370
33137,1760,1990,2480,3260,3870
33138,1080,1220,1520,2000,2370
33139,2040,2310,2880,3790,4490
33140,1750,1990,2470,3250,3850
33141,1570,1780,2220,2920,3460
33142,1070,1210,1510,2000,2370
33143,1520,1720,2140,2820,3340
33144,1380,1570,1950,2570,3040
33145,1500,1700,2120,2790,3300
33146,2040,2310,2880,3790,4490
33147,1110,1250,1560,2050,2430
33149,2040,2310,2880,3790,4490
33150,1050,1200,1510,2000,2370
33152,1360,1540,1920,2530,2990
33153,1360,1540,1920,2530,2990
33154,1810,2050,2550,3350,3970
33155,1610,1820,2270,2990,3540
33156,1730,1960,2440,3210,3800
33157,1220,1380,1720,2260,2680
33158,2040,2310,2880,3790,4490
33160,1710,1940,2410,3170,3760
33161,1250,1410,1760,2320,2740
33162,1160,1320,1640,2160,2560
33163,1360,1540,1920,2530,2990
33164,1360,1540,1920,2530,2990
33165,1430,1620,2020,2660,3150
33166,1340,1520,1890,2490,2950
33167,1210,1370,1710,2250,2670
33168,1300,1480,1840,2420,2870
33169,1210,1370,1710,2250,2670
33170,1210,1370,1710,2250,2670
33172,1570,1780,2220,2920,3460
33173,1590,1810,2250,2960,3510
33174,1320,1500,1870,2460,2910
33175,1640,1860,2320,3050,3620
33176,1450,1650,2050,2700,3200
33177,1230,1400,1740,2290,2710
33178,1910,2170,2700,3550,4210
33179,1340,1520,1890,2490,2950
33180,2010,2280,2840,3740,4430
33181,1240,1410,1750,2300,2730
33182,1840,2090,2600,3420,4050
33183,1490,1700,2110,2780,3290
33184,1580,1790,2230,2930,3480
33185,2040,2310,2880,3790,4490
33186,1690,1910,2380,3130,3710
33187,2000,2270,2820,3710,4400
33189,1300,1480,1840,2420,2870
33190,1370,1550,1930,2540,3010
33191,1360,1540,1920,2530,2990
33192,1360,1540,1920,2530,2990
33193,1440,1630,2030,2670,3160
33194,1880,2130,2650,3490,4130
33195,1360,1540,1920,2530,2990
33196,1860,2110,2630,3460,4100
33197,1360,1540,1920,2530,2990
33198,1360,1540,1920,2530,2990
33222,1360,1540,1920,2530,2990
33231,1360,1540,1920,2530,2990
33233,1360,1540,1920,2530,2990
33234,1360,1540,1920,2530,2990
33238,1360,1540,1920,2530,2990
33239,1360,1540,1920,2530,2990
33242,1360,1540,1920,2530,2990
33243,1360,1540,1920,2530,2990
33245,1360,1540,1920,2530,2990
33247,1360,1540,1920,2530,2990
33255,1360,1540,1920,2530,2990
33256,1360,1540,1920,2530,2990
33257,1360,1540,1920,2530,2990
33261,1360,1540,1920,2530,2990
33265,1360,1540,1920,2530,2990
33266,1360,1540,1920,2530,2990
33269,1360,1540,1920,2530,2990
33280,1360,1540,1920,2530,2990
33283,1360,1540,1920,2530,2990
33296,1360,1540,1920,2530,2990
